Frame,Landmark,Body Part,x Pos,y Pos,z Pos,Visibility
0,11,LEFT_SHOULDER,0.39798977971076965,0.3496370315551758,0.06351837515830994,0.9981695413589478
0,12,RIGHT_SHOULDER,0.48374098539352417,0.3232949674129486,0.04995894432067871,0.9988999366760254
0,13,LEFT_ELBOW,0.42265671491622925,0.4224076569080353,0.19518038630485535,0.31018945574760437
0,14,RIGHT_ELBOW,0.5205040574073792,0.4224523901939392,0.16643328964710236,0.8802233934402466
0,15,LEFT_WRIST,0.44322413206100464,0.36401745676994324,0.3854117691516876,0.04904401674866676
0,16,RIGHT_WRIST,0.49422064423561096,0.36463865637779236,0.3685041666030884,0.14798197150230408
0,23,LEFT_HIP,0.4356101155281067,0.593505322933197,0.012643484398722649,0.9991745352745056
0,24,RIGHT_HIP,0.4838178753852844,0.5799583196640015,-0.012786591425538063,0.9989247918128967
0,25,LEFT_KNEE,0.4322236180305481,0.7559683322906494,0.008788772858679295,0.9860915541648865
0,26,RIGHT_KNEE,0.49965405464172363,0.7442654371261597,0.020437583327293396,0.9917762279510498
0,27,LEFT_ANKLE,0.4378889203071594,0.9354144334793091,-0.028416940942406654,0.9762402772903442
0,28,RIGHT_ANKLE,0.5065079927444458,0.9291055202484131,-0.028400277718901634,0.9894917011260986
0,29,LEFT_HEEL,0.44650259613990784,0.9658660292625427,-0.031223762780427933,0.9860721230506897
0,30,RIGHT_HEEL,0.4977518618106842,0.9570436477661133,-0.032777052372694016,0.9876658916473389
0,31,LEFT_FOOT_INDEX,0.41159239411354065,0.9621495008468628,-0.04980269446969032,0.793907105922699
0,32,RIGHT_FOOT_INDEX,0.5201905369758606,0.9565174579620361,-0.053830862045288086,0.8607780933380127
1,11,LEFT_SHOULDER,0.40126675367355347,0.3487941324710846,0.09381862729787827,0.9982398152351379
1,12,RIGHT_SHOULDER,0.48663967847824097,0.323196142911911,0.0758441686630249,0.9989373087882996
1,13,LEFT_ELBOW,0.4231104254722595,0.42523226141929626,0.2258870154619217,0.3083818852901459
1,14,RIGHT_ELBOW,0.5213071703910828,0.4238120913505554,0.185863196849823,0.8814513683319092
1,15,LEFT_WRIST,0.4530462622642517,0.3748210370540619,0.4263182580471039,0.05014820396900177
1,16,RIGHT_WRIST,0.4986128807067871,0.3691190481185913,0.3823484480381012,0.15246166288852692
1,23,LEFT_HIP,0.43670058250427246,0.5931953191757202,0.009802884422242641,0.9991992115974426
1,24,RIGHT_HIP,0.48491930961608887,0.5799584984779358,-0.00994052179157734,0.9989568591117859
1,25,LEFT_KNEE,0.4325767457485199,0.7568375468254089,0.009483014233410358,0.9869136214256287
1,26,RIGHT_KNEE,0.4999791979789734,0.7436681985855103,0.014402462169528008,0.9922420382499695
1,27,LEFT_ANKLE,0.4372681677341461,0.9365087747573853,-0.05102720111608505,0.977441668510437
1,28,RIGHT_ANKLE,0.5066965222358704,0.9292433857917786,-0.07207255810499191,0.9898601770401001
1,29,LEFT_HEEL,0.4461737275123596,0.9671640396118164,-0.057516008615493774,0.9867735505104065
1,30,RIGHT_HEEL,0.4983464777469635,0.9571306705474854,-0.08062297850847244,0.9880779385566711
1,31,LEFT_FOOT_INDEX,0.4121150076389313,0.9618340134620667,-0.07784612476825714,0.8019862174987793
1,32,RIGHT_FOOT_INDEX,0.5210036039352417,0.9600483179092407,-0.10511904954910278,0.8645008206367493
2,11,LEFT_SHOULDER,0.4031069278717041,0.34832051396369934,0.0824587419629097,0.9982522130012512
2,12,RIGHT_SHOULDER,0.4892243444919586,0.32234987616539,0.059335410594940186,0.9989563822746277
2,13,LEFT_ELBOW,0.42296433448791504,0.4353155791759491,0.22186186909675598,0.31551310420036316
2,14,RIGHT_ELBOW,0.5218676328659058,0.42634445428848267,0.16490894556045532,0.8852412700653076
2,15,LEFT_WRIST,0.45128875970840454,0.3826770782470703,0.41312941908836365,0.05094078183174133
2,16,RIGHT_WRIST,0.5019254684448242,0.36901021003723145,0.35297471284866333,0.16697219014167786
2,23,LEFT_HIP,0.43753141164779663,0.5924990177154541,0.009224703535437584,0.9991704225540161
2,24,RIGHT_HIP,0.48571643233299255,0.5799584984779358,-0.009341337718069553,0.9989374876022339
2,25,LEFT_KNEE,0.43287721276283264,0.7568778991699219,0.007192963268607855,0.9871705770492554
2,26,RIGHT_KNEE,0.5002557635307312,0.7433677911758423,0.00668272515758872,0.9923889636993408
